condition,atlas_n_rois,n_edges,n_finite_edges,n_nan_edges,mean_fc,std_fc,median_fc,iqr_fc
baseline,200,19900,19900,0,0.01676573025615,0.21906849809338558,-0.0027812387610140115,0.26185080805135486
atlas_100,100,4950,4950,0,0.022169221311051354,0.2561872923155598,-0.0034959623911325947,0.3239857622378266
atlas_400,400,79800,79800,0,0.014024362461573766,0.18312130746337288,0.0,0.20808981854181818
