component_index,mean_matched_r,std_matched_r,robust
0,0.43353619022729417,0.0890974068818978,False
1,0.4484247563672936,0.1379562991635388,False
2,0.3469888920051648,0.034255186899558504,False
3,0.4447266086089865,0.17859039182082004,False
4,0.4219477005951776,0.1464998933545739,False
5,0.3941689411718289,0.18880882830978452,False
6,0.42101756898167886,0.21498476397958777,False
7,0.45853751476057103,0.021856947699721352,False
8,0.44771407741352215,0.2773812595455269,False
9,0.5566904032838473,0.24098902320575957,False
10,0.32492412479291843,0.14955557629645422,False
11,0.3688804174920578,0.11672682063686998,False
12,0.4452819491850526,0.03805202400509056,False
13,0.42223288614291926,0.2981724141930766,False
14,0.45617899836489395,0.11115620626117728,False
15,0.3354530006748434,0.02649738389737971,False
16,0.17186888189668892,0.09063614578161794,False
17,0.5778885942375641,0.10430656615322478,False
18,0.42419806598803844,0.285003994786196,False
19,0.4029104619689381,0.05896695593554774,False
